City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mataura,0,NZ,1586555520,95,-46.19,168.86,50.0,3.0
Butaritari,100,KI,1586555408,74,3.07,172.79,84.42,9.37
Rikitea,77,PF,1586555478,74,-23.12,-134.97,77.0,5.95
Port Hawkesbury,90,CA,1586555521,69,45.62,-61.35,41.0,18.34
Ushuaia,75,AR,1586555519,70,-54.8,-68.3,46.4,26.4
Torbay,90,CA,1586555521,100,47.67,-52.73,41.0,25.28
Kapaa,1,US,1586555372,61,22.08,-159.32,78.8,12.75
Vardø,100,NO,1586555522,90,70.37,31.11,28.89,16.69
Arua,90,UG,1586555522,46,3.02,30.91,71.22,4.41
Khatanga,100,RU,1586555474,97,71.97,102.5,29.35,23.29
Saldanha,0,ZA,1586555522,88,-33.01,17.94,62.6,6.93
Hofn,100,IS,1586555522,86,64.25,-15.21,40.42,10.85
Barrow,90,US,1586555345,76,71.29,-156.79,-4.0,11.41
Husavik,90,IS,1586555523,90,66.04,-17.34,32.0,4.7
Qaqortoq,100,GL,1586555523,26,60.72,-46.03,44.6,33.33
Constitución,17,CL,1586555523,65,-35.33,-72.42,60.57,10.27
Qaanaaq,4,GL,1586555523,81,77.48,-69.36,7.41,5.73
Airai,6,TL,1586555524,71,-8.93,125.41,59.76,0.51
Addis Ababa,75,ET,1586555524,48,9.03,38.75,64.4,3.36
Kaseda-shirakame,75,JP,1586555524,81,31.42,130.32,46.4,1.12
Ngunguru,0,NZ,1586555524,76,-35.62,174.5,64.0,1.99
Punta Arenas,75,CL,1586555404,70,-53.15,-70.92,46.4,9.17
Berlevåg,100,NO,1586555525,91,70.86,29.09,27.12,15.68
Bull Savanna,94,JM,1586555525,59,17.89,-77.59,82.76,4.97
Albany,90,US,1586555525,52,42.6,-73.97,46.0,27.51
Pedernales,59,DO,1586555526,66,18.04,-71.74,83.84,1.77
Tuktoyaktuk,20,CA,1586555526,72,69.45,-133.04,10.4,8.05
Warmbad,0,NA,1586555526,16,-28.45,18.73,71.74,5.68
Hobart,75,AU,1586555526,71,-42.88,147.33,53.6,4.7
La Baule-Escoublac,0,FR,1586555527,76,47.29,-2.36,57.2,3.36
Limbang,75,MY,1586555527,94,4.75,115.0,78.8,3.36
Bredasdorp,62,ZA,1586555527,87,-34.53,20.04,59.0,4.7
Krasnosel'kup,100,RU,1586555527,96,65.7,82.47,33.42,15.55
Port Alfred,63,ZA,1586555404,84,-33.59,26.89,66.0,5.28
Ayabaca,96,PE,1586555528,53,-4.64,-79.71,60.91,3.06
São Filipe,0,CV,1586555528,75,14.9,-24.5,75.67,14.14
Upernavik,0,GL,1586555470,88,72.79,-56.15,14.34,10.31
Jamestown,90,US,1586555528,73,42.1,-79.24,39.99,20.8
Kamina,100,CD,1586555529,70,-8.74,24.99,65.75,4.23
Road Town,20,VG,1586555529,70,18.42,-64.62,84.2,11.41
Ormara,0,PK,1586555529,70,25.21,64.64,78.21,6.53
East London,100,ZA,1586555529,78,-33.02,27.91,69.17,5.57
Coos Bay,40,US,1586555530,81,43.37,-124.22,69.01,14.99
New Norfolk,75,AU,1586555487,71,-42.78,147.06,53.6,4.7
